Store,Sales,Store_Size,Num_Employees,Num_Customers,Returns_Pct,Pct_On_Sale,Pct_Promotional,Marketing,TouristEvent
Bangalore,38389,15100,20,132,0.65,8.84,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID41.7458,No
Bangalore,43165,15100,22,123,0.38,6.37,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID58.764,No
Bangalore,35868,15100,18,68,0.47,8.31,0.052610438,In Store Credit Card Signup Discount; ID8.4204,No
Bangalore,59062,15100,34,144,0.65,8.58,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID27.6835,No
Bangalore,71624,15100,28,256,1.06,17.63,0.074430254,In Store Credit Card Signup Discount; Christmas Email Campaign ID15.8107,No
Bangalore,37718,15100,13,125,0.37,7.09,0.000693728,July In Store Credit Card Signup Discount; ID44.6988,No
Bangalore,45335,15100,26,175,1.25,13.99,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.9777,No
Bangalore,47905,15100,33,281,0.52,8.01,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID50.796,Yes
Bangalore,33957,15100,17,70,0.43,10.69,0.052610438,In Store Credit Card Signup Discount; ID25.1244,No
Bangalore,116394,15100,79,857,0.82,10.55,0.045138254,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID53.6663,Yes
Bangalore,56252,15100,17,112,0.7,12.72,0.074430254,In Store Credit Card Signup Discount; Christmas Email Campaign; Last minute Holiday Sales Commercial ID29.6943,No
Bangalore,35429,15100,16,134,0.54,11.17,0.000693728,July In Store Credit Card Signup Discount; ID55.7791,No
Bangalore,49045,15100,17,201,0.83,11.72,0.044655973,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID74.7301,No
Bangalore,67441,15100,36,321,0.67,5.74,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.7572,Yes
Bangalore,37253,15100,20,99,0.18,7.82,0.052610438,In Store Credit Card Signup Discount; ID28.2364,No
Bangalore,82584,15100,80,654,0.59,8.17,0.04431034,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID29.5373,Yes
Bangalore,69250,15100,14,126,0.93,13.02,0.074430254,In Store Credit Card Signup Discount; Christmas Email Campaign; Last minute Holiday Sales Commercial ID123.8746,No
Bangalore,36206,15100,23,145,1.03,9.19,0.000693728,July In Store Credit Card Signup Discount; ID47.8566,No
Bangalore,41026,15100,21,172,0.68,8.52,0.044466096,August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID92.5855,No
Bangalore,52790,15100,28,312,0.16,8.36,0.056375383,September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID76.0011,Yes
Bangalore,41685,15100,25,155,1.05,10.59,0.052610438,In Store Credit Card Signup Discount; ID60.064,No
Bangalore,103290,15100,53,576,0.37,9.44,0.04431034,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID124.1958,Yes
Bangalore,64184,15100,17,144,0.77,13.36,0.074430254,In Store Credit Card Signup Discount; Christmas Email Campaign; Last minute Holiday Sales Commercial ID42.5686,No
Bangalore,48973,15100,18,140,1.24,18.43,0.095230417,In Store Credit Card Signup Discount; ID0.779,No
Bangalore,38401,15100,19,106,1.21,11.29,0.141106073,In Store Credit Card Signup Discount; ID0.5304,No
Bangalore,39263,15100,15,99,1.35,8.2,0.060196641,In Store Credit Card Signup Discount; ID2.1744,No
Bangalore,37691,15100,10,100,0.87,9.02,0.030184014,In Store Credit Card Signup Discount; Spring Product Email ID1.6361,No
Bangalore,44644,15100,15,71,0.27,11.18,0.046784642,In Store Credit Card Signup Discount; Ready for Summer Campaign ID4.004,No
Bangalore,45300,15100,14,181,0.37,9.84,0.056013089,In Store Credit Card Signup Discount; ID0.1301,No
Bangalore,36475,15100,9,105,0.7,13.89,0.129279147,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID0.3794,No
Bangalore,38538,15100,19,127,0.5,10.22,0.075386702,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID3.3164,No
Bangalore,36597,15100,13,141,1.03,11.74,0.0329262,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID8.9226,No
Bangalore,24099,15100,9,51,0.53,10.1,0.040282593,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID9.2901,No
Bangalore,43142,15100,23,87,0.63,10.61,0.067345632,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID3.9302,No
Bangalore,53559,15100,26,189,0.79,18.13,0.053867798,Dec. In Store Credit Card Signup Discount; Christmas Email Campaign ID8.2597,No
Bangalore,47743,15100,15,186,1.48,13.89,0.095230417,In Store Credit Card Signup Discount; ID1.2499,No
Bangalore,33975,15100,22,172,1.04,8.03,0.141106073,In Store Credit Card Signup Discount; ID3.956,No
Bangalore,34879,15100,20,152,0.86,7.18,0.060196641,In Store Credit Card Signup Discount; ID2.3823,No
Bangalore,35095,15100,12,87,0.94,6.37,0.030184014,In Store Credit Card Signup Discount; Spring Product Email ID1.4319,No
Bangalore,32779,15100,16,78,0.27,10.28,0.046784642,In Store Credit Card Signup Discount; Ready for Summer Campaign ID3.7808,No
Bangalore,38835,15100,17,139,1.29,10.92,0.057862146,In Store Credit Card Signup Discount; ID9.6054,No
Bangalore,37264,15100,8,120,0.91,16.2,0.129279147,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID11.9872,No
Bangalore,34306,15100,19,122,0.83,9.65,0.075386702,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID0.0359,No
Bangalore,36029,15100,9,158,0.48,10.48,0.0329262,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID7.3408,No
Bangalore,25816,15100,13,63,0.14,7.76,0.040282593,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID5.1139,No
Bangalore,50406,15100,24,137,1.44,12.53,0.067345632,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID0.8824,No
Bangalore,56760,15100,14,90,1.17,14.16,0.053867798,Dec. In Store Credit Card Signup Discount; Christmas Email Campaign ID17.7087,No
Bangalore,58291,15100,21,135,1.8,20.73,0.095230417,In Store Credit Card Signup Discount; ID1.0137,No
Bangalore,33435,15100,10,96,1.11,7.05,0.11941362,In Store Credit Card Signup Discount; ID4.8827,No
Bangalore,31991,15100,21,99,0.44,8.76,0.066422854,In Store Credit Card Signup Discount; ID7.7571,No
Bangalore,36838,15100,13,103,0.5,6.34,0.030184014,In Store Credit Card Signup Discount; Spring Product Email ID2.4441,No
Bangalore,36015,15100,14,99,1.09,11.84,0.046784642,In Store Credit Card Signup Discount; Ready for Summer Campaign ID6.8428,No
Bangalore,31469,15100,9,92,0.74,8.81,0.057862146,In Store Credit Card Signup Discount; ID7.1591,No
Bangalore,27906,15100,14,129,0.79,13.5,0.129279147,July In Store Credit Card Signup Discount; In store 10% off accessories; Ad Words Independence Day Sale ID2.8693,No
Bangalore,38411,15100,19,161,0.66,6.84,0.075386702,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID1.4171,No
Bangalore,29374,15100,10,64,0.95,10.54,0.0329262,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID17.5818,No
Bangalore,38226,15100,17,79,0.58,13.1,0.040282593,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID10.5469,No
Bangalore,47009,15100,23,121,0.91,14.33,0.062151683,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID5.0763,No
Bangalore,54799,15100,15,67,1.03,16.59,0.053867798,Dec. In Store Credit Card Signup Discount; Christmas Email Campaign ID7.9839,No
Bangalore,60871,15100,27,137,1.84,17.56,0.095230417,In Store Credit Card Signup Discount; ID1.6791,No
Bangalore,26380,15100,11,72,0.49,9.73,0.11941362,In Store Credit Card Signup Discount; Presidents Day Email Blast ID4.3888,No
Bangalore,32005,15100,16,68,0.01,6.31,0.066422854,In Store Credit Card Signup Discount; ID7.647,No
Bangalore,34448,15100,27,103,1.01,7.8,0.030184014,In Store Credit Card Signup Discount; Spring Product Email ID11.9657,No
Bangalore,38127,15100,16,164,0.48,10.76,0.046784642,In Store Credit Card Signup Discount; Ready for Summer Campaign ID3.5895,No
Bangalore,34434,15100,8,84,0.8,10.51,0.057862146,In Store Credit Card Signup Discount; ID9.4835,No
Bangalore,39862,15100,16,153,1.01,14.22,0.129279147,July In Store Credit Card Signup Discount; ID19.7314,No
Bangalore,36274,15100,12,144,0.32,6.27,0.067659109,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID28.1391,No
Bangalore,31242,15100,13,57,0.36,12.29,0.0329262,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID15.6655,No
Bangalore,34099,15100,12,107,0.48,10.95,0.040282593,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID13.6695,No
Bangalore,39517,15100,8,57,0.55,7.94,0.062151683,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID16.1747,No
Bangalore,48549,15100,12,101,1.35,16.07,0.053867798,Dec. In Store Credit Card Signup Discount; Christmas Email Campaign ID29.9649,No
Bangalore,51324,15100,26,197,2.57,17.65,0.095230417,In Store Credit Card Signup Discount; ID4.2535,No
Bangalore,34067,15100,11,72,0.76,7.03,0.11941362,In Store Credit Card Signup Discount; Presidents Day Email Blast ID4.2195,No
Bangalore,37806,15100,8,55,0.69,8.88,0.066422854,In Store Credit Card Signup Discount; ID4.1778,No
Bangalore,40098,15100,18,149,1.11,10.46,0.030184014,In Store Credit Card Signup Discount; Spring Product Email ID13.2151,No
Bangalore,42165,15100,15,131,0.68,10.87,0.055547634,In Store Credit Card Signup Discount; Ready for Summer Campaign ID22.6998,No
Bangalore,35777,15100,15,89,0.97,8.62,0.057862146,In Store Credit Card Signup Discount; ID6.0329,No
Bangalore,33718,15100,17,168,1.15,15.59,0.129279147,July In Store Credit Card Signup Discount; ID16.608,No
Bangalore,28802,15100,8,96,0.56,6.87,0.067659109,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID15.0269,No
Bangalore,30426,15100,14,64,0.23,10.97,0.0329262,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID36.6956,No
Bangalore,45120,15100,18,176,1.18,12.12,0.040282593,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID44.0212,No
Bangalore,36168,15100,13,69,0.76,8.84,0.062151683,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID37.575,No
Bangalore,54524,15100,18,90,0.92,18.92,0.053867798,Dec. In Store Credit Card Signup Discount; Christmas Email Campaign ID31.6488,No
Bangalore,46833,15100,27,129,1.54,15.72,0.104473082,In Store Credit Card Signup Discount; ID3.8764,No
Bangalore,33653,15100,11,68,1.21,6.43,0.11941362,In Store Credit Card Signup Discount; Presidents Day Email Blast ID9.669,No
Bangalore,40000,15100,11,63,0.68,9.71,0.066422854,In Store Credit Card Signup Discount; March Madness Gear Sale ID7.062,No
Bangalore,42391,15100,15,184,0.67,8.43,0.030184014,In Store Credit Card Signup Discount; Spring Product Email ID19.378,No
Bangalore,35486,15100,9,86,0.65,8.49,0.055547634,In Store Credit Card Signup Discount; Ready for Summer Campaign ID27.6853,No
Bangalore,34554,15100,19,94,0.65,9.64,0.057862146,In Store Credit Card Signup Discount; ID11.7941,No
Bangalore,40657,15100,15,202,1.4,14.69,0.129279147,July In Store Credit Card Signup Discount; ID28.3698,No
Bangalore,26796,15100,8,89,0.34,8.81,0.067659109,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID31.4155,No
Bangalore,31962,15100,14,82,1.15,8.02,0.0329262,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID33.715,No
Bangalore,29315,15100,16,114,0.48,10.66,0.072573367,In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID58.4705,No
Bangalore,36540,15100,18,66,0.59,10.46,0.062151683,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID11.3039,No
Bangalore,53209,15100,23,125,1.18,12.94,0.053867798,Dec. In Store Credit Card Signup Discount; Christmas Email Campaign ID32.1018,No
Bangalore,50882,15100,9,99,0.97,18.16,0.104473082,In Store Credit Card Signup Discount; ID5.2327,No
Bangalore,27681,15100,19,68,1.1,11.95,0.11941362,In Store Credit Card Signup Discount; Presidents Day Email Blast ID8.5578,No
Bangalore,35925,15100,19,67,0.67,8.91,0.066422854,In Store Credit Card Signup Discount; March Madness Gear Sale ID12.1089,No
Bangalore,36794,15100,19,128,0.38,9.2,0.038190223,In Store Credit Card Signup Discount; Spring Product Email ID2.5939,No
Bangalore,32888,15100,10,78,0.23,8.04,0.055547634,In Store Credit Card Signup Discount; Ready for Summer Campaign ID29.6684,No
Bangalore,33878,15100,14,114,1.32,10.29,0.057862146,In Store Credit Card Signup Discount; ID24.8178,No
Bangalore,46078,15100,12,146,0.67,10.88,0.137019061,July In Store Credit Card Signup Discount; ID15.612,No
Bangalore,38296,15100,8,96,0.85,7.56,0.067659109,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID54.803,No
Bangalore,38886,15100,16,127,1.31,11.89,0.0329262,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID46.9357,No
Bangalore,26913,15100,10,65,0.2,10.64,0.072573367,In Store Credit Card Signup Discount; ID7.6133,No
Bangalore,39510,15100,18,66,1.21,12.6,0.062151683,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID42.2555,No
Bangalore,65983,15100,24,190,1.53,15.72,0.053867798,Dec. In Store Credit Card Signup Discount; Christmas Email Campaign ID16.2271,No
Bangalore,41597,15100,12,75,1.22,13.17,0.104473082,In Store Credit Card Signup Discount; ID0.4614,No
Bangalore,42371,15100,27,116,0.96,16.58,0.11941362,In Store Credit Card Signup Discount; Presidents Day Email Blast ID1.4764,No
Bangalore,31243,15100,19,83,0.49,12.21,0.066422854,In Store Credit Card Signup Discount; March Madness Gear Sale ID3.4575,No
Bangalore,30200,15100,11,77,0.24,8.19,0.038190223,In Store Credit Card Signup Discount; Spring Product Email ID4.0752,No
Bangalore,31840,15100,12,80,0.68,8.01,0.055547634,In Store Credit Card Signup Discount; Ready for Summer Campaign ID33.4619,No
Bangalore,41265,15100,18,181,0.78,11.63,0.057862146,In Store Credit Card Signup Discount; ID26.0118,No
Bangalore,39560,15100,10,105,0.83,12.62,0.137019061,July In Store Credit Card Signup Discount; ID33.6574,No
Bangalore,29043,15100,14,108,0.4,10.34,0.067659109,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID61.8602,No
Bangalore,30928,15100,15,94,0.87,12.3,0.024140695,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID0.3574,No
Bangalore,31933,15100,4,70,0.32,9.48,0.072573367,In Store Credit Card Signup Discount; ID50.54,No
Bangalore,44592,15100,15,116,1.11,7.69,0.062151683,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID69.2072,No
Bangalore,54231,15100,23,181,2.23,16.7,0.06082373,In Store Credit Card Signup Discount; Christmas Email Campaign ID40.8469,No
Bangalore,49296,15100,11,97,1.48,15.43,0.104473082,In Store Credit Card Signup Discount; MLK Event Promotion ID1.1255,No
Bangalore,40885,15100,19,198,1.37,15.86,0.11941362,In Store Credit Card Signup Discount; Presidents Day Email Blast ID2.4304,No
Bangalore,40058,15100,17,174,0.71,8.41,0.066422854,In Store Credit Card Signup Discount; March Madness Gear Sale ID21.341,No
Bangalore,30758,15100,11,59,0.07,10.27,0.038190223,In Store Credit Card Signup Discount; Spring Product Email ID21.2443,No
Bangalore,40765,15100,20,88,0.37,6.17,0.055547634,In Store Credit Card Signup Discount; Ready for Summer Campaign ID27.6096,No
Bangalore,41927,15100,27,121,1.75,10.44,0.059632601,In Store Credit Card Signup Discount; ID5.9252,No
Bangalore,47542,15100,9,107,0.86,12.23,0.137019061,July In Store Credit Card Signup Discount; ID61.1676,No
Bangalore,43516,15100,19,124,0.41,14.82,0.067659109,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID0.8304,No
Bangalore,30442,15100,8,68,0.37,9.87,0.024140695,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID53.3311,No
Bangalore,27510,15100,14,74,0.34,11.26,0.072573367,In Store Credit Card Signup Discount; Chennai Day Mailer ID62.8383,No
Bangalore,85350,15100,40,670,1.09,9.51,0.062151683,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID80.9005,Yes
Bangalore,51918,15100,15,94,1.03,15.12,0.06082373,In Store Credit Card Signup Discount; Christmas Email Campaign; Last minute Holiday Sales Commercial ID80.9367,No
Bangalore,40061,15100,18,89,1.7,17.43,0.104473082,In Store Credit Card Signup Discount; MLK Event Promotion ID1.9401,No
Bangalore,28068,15100,15,142,1.41,16.53,0.062365058,In Store Credit Card Signup Discount; Presidents Day Email Blast ID9.4839,No
Bangalore,39202,15100,38,122,0.63,10.07,0.049576671,In Store Credit Card Signup Discount; ID13.1065,No
Bangalore,30503,15100,14,61,0.06,8.43,0.038190223,In Store Credit Card Signup Discount; Spring Product Email ID25.1982,No
Bangalore,38978,15100,16,116,0.68,8.27,0.055547634,In Store Credit Card Signup Discount; Ready for Summer Campaign ID36.1829,No
Bangalore,35276,15100,11,82,0.85,9.17,0.059632601,In Store Credit Card Signup Discount; ID10.0629,No
Bangalore,31912,15100,10,112,0.75,11.28,0.137019061,July In Store Credit Card Signup Discount; ID30.0926,No
Bangalore,37025,15100,21,162,0.86,11.43,0.067659109,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID77.1499,No
Bangalore,33932,15100,11,57,0.23,11.59,0.024140695,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID60.7724,No
Bangalore,32048,15100,15,90,0.76,12.38,0.072573367,In Store Credit Card Signup Discount; Chennai Day Mailer ID43.8589,No
Bangalore,86667,15100,55,513,1.27,14.37,0.059826822,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID75.3527,Yes
Bangalore,56093,15100,12,98,1.16,19.92,0.06082373,In Store Credit Card Signup Discount; Christmas Email Campaign; Last minute Holiday Sales Commercial ID21.306,No
Bangalore,48834,15100,24,113,1.53,16.4,0.104473082,In Store Credit Card Signup Discount; MLK Event Promotion ID8.4598,No
Bangalore,31563,15100,16,84,0.47,14.57,0.062365058,In Store Credit Card Signup Discount; Presidents Day Email Blast ID5.3874,No
Bangalore,38644,15100,12,67,0.4,10.54,0.049576671,In Store Credit Card Signup Discount; ID4.7213,No
Bangalore,37311,15100,19,79,0.59,6.95,0.038190223,In Store Credit Card Signup Discount; Spring Product Email ID40.0188,No
Bangalore,43649,15100,17,176,0.85,10.58,0.055547634,In Store Credit Card Signup Discount; Ready for Summer Campaign ID52.2713,No
Bangalore,32774,15100,9,86,0.62,8.94,0.059632601,In Store Credit Card Signup Discount; ID1.0315,No
Bangalore,36332,15100,11,110,1.05,13.51,0.137019061,July In Store Credit Card Signup Discount; Half off with email ID33.2649,No
Bangalore,38614,15100,19,126,0.95,13.24,0.055719855,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID69.6147,No
Bangalore,44728,15100,22,261,0.85,8.1,0.024140695,In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID96.7766,Yes
Bangalore,31134,15100,21,118,1.18,13.71,0.072573367,In Store Credit Card Signup Discount; Chennai Day Mailer ID0.3119,No
Bangalore,54125,15100,32,463,0.15,13.41,0.059826822,In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID42.1217,Yes
Bangalore,56731,15100,11,114,1.26,16.75,0.06082373,In Store Credit Card Signup Discount; Christmas Email Campaign; Last minute Holiday Sales Commercial ID130.2971,No
